/		CG-6 Survey
/		Survey Name:	MAIN-MEN3
/		Instrument Serial Number:	000000022090470
/		Created:	2023-04-19 05:05:12
/
/		CG-6 Calibration
/		Operator:	EACH
/		Gcal1 [mGal]:	7941.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031193
/		Y Scale [arc-sec/ADU]:	0.030978
/		X Offset [ADU]:	-38727.250535
/		Y Offset [ADU]:	-43473.881294
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2022-09-14 11:11:53
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-19	05:05:12	5589.7559	3	0.0124	0.0016	5592.1647	-1.3	-0.1	1.1099	-0.0553	0.0001	0.1391	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:06:12	5589.7577	3	0.0134	0.0017	5592.1660	-1.5	-0.3	1.1140	-0.0549	0.0001	0.1390	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:07:12	5589.7553	3	0.0147	0.0019	5592.1636	-1.8	-0.4	1.1132	-0.0544	0.0001	0.1386	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:08:12	5589.7568	3	0.0103	0.0013	5592.1645	-1.3	-0.7	1.1121	-0.0539	0.0001	0.1387	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:09:12	5589.7560	3	0.0116	0.0015	5592.1635	-2.3	-2.2	1.1048	-0.0534	0.0002	0.1384	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:10:12	5589.7572	3	0.0149	0.0019	5592.1641	-1.6	-2.8	1.1093	-0.0529	0.0003	0.1384	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:11:12	5589.7564	3	0.0109	0.0014	5592.1628	-1.7	-2.9	1.1004	-0.0525	0.0003	0.1384	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:12:12	5589.7569	3	0.0116	0.0015	5592.1632	-1.2	-2.8	1.1046	-0.0520	0.0001	0.1381	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:13:12	5589.7556	3	0.0116	0.0015	5592.1615	-3.9	-4.0	1.1033	-0.0515	0.0005	0.1378	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:14:12	5589.7557	3	0.0132	0.0017	5592.1612	-1.9	-3.8	1.1069	-0.0510	0.0003	0.1379	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:15:12	5589.7573	3	0.0145	0.0019	5592.1622	-4.1	-4.8	1.0949	-0.0505	0.0005	0.1378	-2.4926	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:16:12	5589.7561	3	0.0132	0.0017	5592.1603	-4.4	-5.2	1.1022	-0.0500	0.0007	0.1378	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:17:12	5589.7573	3	0.0103	0.0013	5592.1614	-2.7	-5.7	1.1075	-0.0495	0.0006	0.1376	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:18:12	5589.7577	3	0.0124	0.0016	5592.1611	-3.7	-3.5	1.0992	-0.0490	0.0004	0.1379	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:19:12	5589.7573	3	0.0099	0.0013	5592.1603	-2.3	-5.8	1.1023	-0.0486	0.0006	0.1376	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:20:12	5589.7571	3	0.0109	0.0014	5592.1600	-1.5	-4.3	1.1018	-0.0481	0.0003	0.1375	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:21:12	5589.7561	3	0.0114	0.0015	5592.1589	-1.5	-3.1	1.1003	-0.0476	0.0002	0.1373	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:22:12	5589.7558	3	0.0113	0.0015	5592.1580	-1.7	-1.8	1.0981	-0.0471	0.0001	0.1375	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:23:12	5589.7566	3	0.0120	0.0015	5592.1584	-2.7	-2.0	1.0978	-0.0466	0.0002	0.1373	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:24:12	5589.7569	3	0.0113	0.0015	5592.1583	-1.4	-2.3	1.0958	-0.0461	0.0002	0.1372	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:25:12	5589.7563	3	0.0136	0.0017	5592.1572	-1.9	-3.7	1.0992	-0.0456	0.0003	0.1371	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:26:12	5589.7574	3	0.0145	0.0019	5592.1579	-2.8	-2.6	1.0917	-0.0451	0.0002	0.1371	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:27:12	5589.7568	3	0.0141	0.0018	5592.1568	-3.3	-3.1	1.1011	-0.0446	0.0003	0.1370	-2.4927	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:28:12	5589.7580	3	0.0136	0.0018	5592.1575	-2.8	-3.4	1.0919	-0.0441	0.0003	0.1370	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:29:12	5589.7569	3	0.0111	0.0014	5592.1561	-4.0	-2.7	1.0957	-0.0436	0.0003	0.1368	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:30:12	5589.7572	3	0.0138	0.0018	5592.1562	-3.5	-2.7	1.0932	-0.0431	0.0002	0.1367	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:31:12	5589.7571	3	0.0114	0.0015	5592.1553	-5.1	-2.6	1.0967	-0.0426	0.0005	0.1367	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:32:12	5589.7577	3	0.0130	0.0017	5592.1554	-4.1	-2.6	1.0919	-0.0421	0.0002	0.1369	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:33:12	5589.7584	3	0.0114	0.0015	5592.1557	-4.5	-0.3	1.0876	-0.0416	0.0002	0.1368	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:34:12	5589.7572	3	0.0135	0.0017	5592.1541	-4.5	-0.2	1.0949	-0.0411	0.0003	0.1367	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:35:12	5589.7573	3	0.0130	0.0017	5592.1538	-4.0	-1.3	1.0941	-0.0406	0.0003	0.1366	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:36:12	5589.7574	3	0.0128	0.0017	5592.1534	-4.9	-1.4	1.0830	-0.0401	0.0005	0.1364	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:37:12	5589.7570	3	0.0129	0.0017	5592.1528	-4.2	-0.7	1.0895	-0.0396	0.0002	0.1365	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:38:12	5589.7580	3	0.0129	0.0017	5592.1534	-2.5	-0.8	1.0943	-0.0391	0.0001	0.1364	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:39:12	5589.7571	3	0.0132	0.0017	5592.1521	-2.0	-0.2	1.0928	-0.0386	0.0001	0.1364	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:40:12	5589.7573	3	0.0121	0.0016	5592.1518	-3.9	-1.2	1.0884	-0.0380	0.0002	0.1362	-2.4928	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:41:12	5589.7565	3	0.0108	0.0014	5592.1504	-2.8	0.1	1.0903	-0.0375	0.0001	0.1364	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:42:12	5589.7575	3	0.0154	0.0020	5592.1509	-1.0	-1.6	1.0923	-0.0370	0.0001	0.1364	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:43:12	5589.7581	3	0.0109	0.0014	5592.1511	-3.4	-3.0	1.0939	-0.0365	0.0002	0.1362	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:44:12	5589.7587	3	0.0119	0.0015	5592.1508	-4.0	-2.9	1.0905	-0.0360	0.0004	0.1363	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:45:12	5589.7586	3	0.0110	0.0014	5592.1506	-0.7	-3.1	1.0875	-0.0355	0.0003	0.1361	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:46:12	5589.7572	3	0.0131	0.0017	5592.1490	-2.3	-0.7	1.0958	-0.0350	0.0001	0.1360	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:47:12	5589.7575	3	0.0111	0.0014	5592.1486	-3.6	-0.3	1.0884	-0.0345	0.0002	0.1361	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:48:12	5589.7571	3	0.0114	0.0015	5592.1476	-3.4	-1.3	1.0946	-0.0340	0.0004	0.1361	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:49:12	5589.7582	3	0.0154	0.0020	5592.1482	-4.4	0.5	1.0923	-0.0335	0.0004	0.1360	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:50:12	5589.7568	3	0.0123	0.0016	5592.1464	-3.9	0.2	1.0930	-0.0330	0.0002	0.1361	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:51:12	5589.7577	3	0.0150	0.0019	5592.1469	-3.4	0.1	1.0858	-0.0325	0.0002	0.1361	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:52:12	5589.7567	3	0.0132	0.0017	5592.1455	-2.9	-1.1	1.0916	-0.0320	0.0002	0.1360	-2.4929	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:53:12	5589.7588	3	0.0147	0.0019	5592.1470	-2.6	-1.0	1.0885	-0.0314	0.0002	0.1360	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:54:12	5589.7575	3	0.0133	0.0017	5592.1453	-3.6	0.2	1.0834	-0.0309	0.0002	0.1359	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:55:12	5589.7574	3	0.0130	0.0017	5592.1448	-3.8	-1.0	1.0881	-0.0304	0.0002	0.1358	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:56:12	5589.7573	3	0.0124	0.0016	5592.1441	-3.5	-2.5	1.0837	-0.0299	0.0002	0.1359	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:57:12	5589.7584	3	0.0138	0.0018	5592.1448	-2.7	0.3	1.0906	-0.0294	0.0002	0.1359	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:58:12	5589.7574	3	0.0144	0.0019	5592.1433	-3.5	0.1	1.0839	-0.0289	0.0002	0.1357	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	05:59:12	5589.7579	3	0.0128	0.0016	5592.1434	-3.6	-0.3	1.0786	-0.0284	0.0002	0.1357	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	06:00:12	5589.7581	3	0.0129	0.0017	5592.1430	-4.2	0.3	1.0882	-0.0279	0.0003	0.1357	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	06:01:12	5589.7574	3	0.0135	0.0017	5592.1419	-3.4	0.0	1.0881	-0.0274	0.0002	0.1357	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	06:02:12	5589.7587	3	0.0140	0.0018	5592.1428	-2.8	0.2	1.0830	-0.0269	0.0001	0.1357	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	06:03:12	5589.7563	3	0.0120	0.0015	5592.1399	-2.9	0.3	1.0899	-0.0264	0.0001	0.1357	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-19	06:04:12	5589.7573	3	0.0125	0.0016	5592.1403	-1.6	-0.4	1.0833	-0.0259	0.0001	0.1358	-2.4930	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:00:31	5621.3907	3	0.0298	0.0038	5623.7211	-3.5	3.5	1.1248	0.0227	0.0003	0.1406	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:01:31	5621.3915	3	0.0121	0.0016	5623.7217	-4.1	3.0	1.1220	0.0229	0.0004	0.1405	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:02:31	5621.3915	3	0.0154	0.0020	5623.7214	-4.9	5.8	1.1175	0.0232	0.0007	0.1402	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:03:31	5621.3923	3	0.0154	0.0020	5623.7223	-3.9	5.0	1.1155	0.0234	0.0005	0.1400	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:04:31	5621.3925	3	0.0131	0.0017	5623.7227	-2.7	1.6	1.1213	0.0237	0.0002	0.1399	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:05:31	5621.3921	3	0.0165	0.0021	5623.7219	-4.8	2.7	1.1196	0.0240	0.0005	0.1398	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:06:31	5621.3932	3	0.0156	0.0020	5623.7228	-3.0	4.4	1.1157	0.0242	0.0004	0.1397	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:07:31	5621.3933	3	0.0176	0.0023	5623.7227	-3.7	6.4	1.1145	0.0244	0.0007	0.1394	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:08:31	5621.3929	3	0.0134	0.0017	5623.7223	-3.1	5.2	1.1120	0.0247	0.0005	0.1395	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:09:31	5621.3932	3	0.0191	0.0025	5623.7225	-3.0	5.1	1.1214	0.0249	0.0004	0.1395	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:10:31	5621.3932	3	0.0123	0.0016	5623.7222	-3.1	4.4	1.1111	0.0252	0.0004	0.1395	-2.4940	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:11:31	5621.3928	3	0.0142	0.0018	5623.7219	-1.6	3.0	1.1136	0.0254	0.0002	0.1394	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:12:31	5621.3937	3	0.0144	0.0019	5623.7227	-0.8	2.8	1.1158	0.0256	0.0002	0.1392	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:13:31	5621.3940	3	0.0169	0.0022	5623.7227	-2.2	3.6	1.1144	0.0258	0.0003	0.1392	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:14:31	5621.3927	3	0.0158	0.0020	5623.7215	-1.6	2.1	1.1102	0.0261	0.0001	0.1391	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:15:31	5621.3925	3	0.0118	0.0015	5623.7212	-0.1	1.2	1.1100	0.0263	0.0001	0.1390	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:16:31	5621.3920	3	0.0128	0.0017	5623.7206	-1.9	3.0	1.1178	0.0265	0.0001	0.1389	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:17:31	5621.3940	3	0.0158	0.0020	5623.7220	-2.6	3.9	1.1151	0.0267	0.0003	0.1391	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:18:31	5621.3931	3	0.0183	0.0024	5623.7213	-2.1	3.5	1.1116	0.0269	0.0003	0.1388	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:19:31	5621.3928	3	0.0166	0.0021	5623.7208	-1.4	2.3	1.1154	0.0271	0.0001	0.1388	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:20:31	5621.3927	3	0.0167	0.0022	5623.7204	-1.9	2.8	1.1124	0.0273	0.0002	0.1389	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:21:31	5621.3943	3	0.0151	0.0019	5623.7216	-3.6	1.8	1.1105	0.0275	0.0003	0.1390	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:22:31	5621.3937	3	0.0186	0.0024	5623.7208	-4.6	2.6	1.1101	0.0277	0.0005	0.1389	-2.4941	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:23:31	5621.3937	3	0.0163	0.0021	5623.7209	-3.2	3.1	1.1134	0.0279	0.0003	0.1387	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:24:31	5621.3925	3	0.0166	0.0021	5623.7194	-3.4	4.1	1.1083	0.0281	0.0004	0.1387	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:25:31	5621.3942	3	0.0130	0.0017	5623.7209	-3.1	4.8	1.1086	0.0282	0.0005	0.1387	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:26:31	5621.3929	3	0.0185	0.0024	5623.7197	-2.2	4.4	1.1072	0.0284	0.0003	0.1387	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:27:31	5621.3928	3	0.0181	0.0023	5623.7195	-1.2	5.6	1.1114	0.0286	0.0004	0.1385	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:28:31	5621.3934	3	0.0146	0.0019	5623.7196	-2.7	5.9	1.1101	0.0287	0.0007	0.1386	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:29:31	5621.3938	3	0.0185	0.0024	5623.7202	-2.6	4.2	1.1086	0.0289	0.0003	0.1386	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:30:31	5621.3943	3	0.0134	0.0017	5623.7207	-0.5	4.8	1.1049	0.0291	0.0003	0.1384	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:31:31	5621.3931	3	0.0161	0.0021	5623.7193	-2.2	5.4	1.1092	0.0292	0.0004	0.1385	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:32:31	5621.3934	3	0.0150	0.0019	5623.7194	-1.7	5.1	1.0990	0.0294	0.0005	0.1384	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:33:31	5621.3939	3	0.0184	0.0024	5623.7200	-0.7	4.7	1.1087	0.0295	0.0002	0.1384	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:34:31	5621.3935	3	0.0134	0.0017	5623.7195	-0.9	4.8	1.1077	0.0297	0.0003	0.1383	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:35:31	5621.3928	3	0.0159	0.0021	5623.7182	-2.1	8.1	1.1043	0.0298	0.0007	0.1384	-2.4942	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:36:31	5621.3945	3	0.0187	0.0024	5623.7194	-3.8	8.7	1.1039	0.0299	0.0012	0.1382	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:37:31	5621.3937	3	0.0157	0.0020	5623.7188	-2.9	7.4	1.1079	0.0301	0.0008	0.1384	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:38:31	5621.3939	3	0.0165	0.0021	5623.7190	-1.7	6.6	1.1072	0.0302	0.0006	0.1383	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:39:31	5621.3935	3	0.0185	0.0024	5623.7187	-0.0	7.0	1.1054	0.0303	0.0006	0.1381	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:40:31	5621.3939	3	0.0175	0.0023	5623.7188	-2.2	7.0	1.1054	0.0304	0.0007	0.1382	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:41:31	5621.3942	3	0.0126	0.0016	5623.7192	-2.2	5.0	1.1114	0.0306	0.0005	0.1383	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:42:31	5621.3941	3	0.0205	0.0027	5623.7190	-4.1	3.5	1.1073	0.0307	0.0006	0.1381	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:43:31	5621.3940	3	0.0211	0.0027	5623.7193	-2.1	2.9	1.1009	0.0308	0.0003	0.1380	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:44:31	5621.3941	3	0.0181	0.0023	5623.7194	-2.7	2.9	1.1019	0.0309	0.0002	0.1379	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:45:31	5621.3930	3	0.0162	0.0021	5623.7182	-1.2	3.0	1.1021	0.0310	0.0001	0.1380	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:46:31	5621.3941	3	0.0139	0.0018	5623.7191	0.1	3.6	1.1087	0.0311	0.0002	0.1380	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:47:31	5621.3948	3	0.0185	0.0024	5623.7198	-0.4	4.4	1.1041	0.0312	0.0003	0.1379	-2.4943	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:48:31	5621.3938	3	0.0179	0.0023	5623.7184	-0.1	5.5	1.1018	0.0313	0.0005	0.1380	-2.4944	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
63	2023-04-19	08:49:31	5621.3949	3	0.0162	0.0021	5623.7197	-1.1	4.0	1.1093	0.0314	0.0002	0.1380	-2.4944	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
